,id,parkID,name,land,height,duration_min,popularity,landID
0,353289,336894,Animation Academy,Hollywood Land,,23.0,MAA,0
1,353387,336894,"Monsters, Inc. Mike & Sulley to the Rescue!",Hollywood Land,,5.0,MAA,0
2,353433,336894,Sorcerer's Workshop,Hollywood Land,,30.0,MIA,0
3,353451,336894,Guardians of the Galaxy – Mission: BREAKOUT!,Hollywood Land,40.0,6.0,,0
4,353457,336894,Turtle Talk with Crush,Hollywood Land,,17.0,MIA,0
5,17328049,336894,Red Car Trolley - Hollywood Land,Hollywood Land,,11.0,,0
6,18766536,336894,“Thor: Ragnarok” Sneak Peek,Hollywood Land,,1.0,,0
7,18774860,336894,Guardians of the Galaxy – Monsters After Dark,Hollywood Land,40.0,5.0,,0
8,18946452,336894,"Disney's ""A Wrinkle in Time"" Sneak Peek",Hollywood Land,,1.0,,0
9,353291,330339,Astro Orbitor,Tomorrowland,,1.5,MIA,1
10,353293,330339,Autopia,Tomorrowland,32.0,4.5,MIA,1
11,353301,330339,Buzz Lightyear Astro Blasters ,Tomorrowland,,4.5,MAA,1
12,353313,330339,Disneyland Monorail,Tomorrowland,,15.0,MAA,1
13,353327,330339,Finding Nemo Submarine Voyage,Tomorrowland,,13.0,HD,1
14,353435,330339,Hyperspace Mountain,Tomorrowland,40.0,2.25,,1
15,353439,330339,Star Tours - The Adventures Continue,Tomorrowland,40.0,7.0,HD,1
16,18237343,330339,Star Wars Launch Bay,Tomorrowland,,45.0,MIA,1
17,18237368,330339,Space Mountain,Tomorrowland,40.0,5.0,HD,1
18,18243993,330339,Star Wars: Path of the Jedi,Tomorrowland,,15.0,,1
19,18449559,330339,Space Mountain Ghost Galaxy,Tomorrowland,40.0,3.0,HD,1
20,353295,330339,Big Thunder Mountain Railroad,Frontierland,40.0,3.5,HD,2
21,353335,330339,Frontierland Shootin' Exposition,Frontierland,,5.0,,2
22,353375,330339,Mark Twain Riverboat,Frontierland,,14.0,MIA,2
23,353403,330339,Pirate's Lair on Tom Sawyer Island,Frontierland,,45.0,MIA,2
24,353425,330339,Sailing Ship Columbia,Frontierland,,14.0,MIA,2
25,16204726,330339,Fantasmic!,Frontierland,,25.0,HD,2
26,353303,336894,California Screamin',Pixar Pier,48.0,1.33,,3
27,353305,330339,Casey Jr. Circus Train,Fantasyland,,4.0,MIA,4
28,353323,330339,Dumbo the Flying Elephant,Fantasyland,,1.7,MIA,4
29,353365,330339,King Arthur Carrousel,Fantasyland,,3.0,MIA,4
30,353369,330339,Mad Tea Party ,Fantasyland,,1.5,MIA,4
31,353377,330339,Matterhorn Bobsleds,Fantasyland,42.0,2.0,MAA,4
32,353389,330339,Mr. Toad's Wild Ride ,Fantasyland,,2.0,MIA,4
33,353399,330339,Peter Pan's Flight ,Fantasyland,,3.0,MIA,4
34,353401,330339,Pinocchio's Daring Journey,Fantasyland,,3.0,MIA,4
35,353427,330339,Sleeping Beauty Castle Walkthrough,Fantasyland,,15.0,MIA,4
36,353429,330339,Snow White's Scary Adventures,Fantasyland,,2.5,MIA,4
37,353443,330339,Storybook Land Canal Boats,Fantasyland,,9.5,MIA,4
38,367492,330339,it's a small world,Fantasyland,,14.0,MAA,4
39,367495,330339,Alice in Wonderland,Fantasyland,,4.0,MIA,4
40,3433651,330339,Pixie Hollow,Fantasyland,,10.0,MIA,4
41,18237232,330339,it's a small world Holiday,Fantasyland,,5.0,,4
42,353309,330339,Chip 'n Dale Treehouse,Mickey's Toontown,,10.0,,5
43,353321,330339,Donald's Boat,Mickey's Toontown,,5.0,,5
44,353337,330339,Gadget's Go Coaster,Mickey's Toontown,35.0,0.73,,5
45,353343,330339,Goofy's Playhouse,Mickey's Toontown,,5.0,,5
46,353381,330339,Mickey's House and Meet Mickey,Mickey's Toontown,,5.0,MIA,5
47,353383,330339,Minnie's House,Mickey's Toontown,,5.0,MIA,5
48,353421,330339,Roger Rabbit's Car Toon Spin,Mickey's Toontown,,4.0,MAA,5
49,18171939,330339,Trick or Treating at Mickey’s Halloween Party,Mickey's Toontown,,2.0,,5
50,353311,330339,Davy Crockett's Explorer Canoes,Critter Country,,10.0,MIA,6
51,353437,330339,Splash Mountain,Critter Country,40.0,11.0,HD,6
52,353449,330339,The Many Adventures of Winnie the Pooh,Critter Country,,4.0,,6
53,353315,330339,Disneyland Railroad,"Main Street, U.S.A.",,22.0,,7
