#{"t_start": 1682400302.2614763, "env_id": null}
r,l,t,current_date,agent_id
-27.193329,21,21.883379,2017-05-22,6
27.610003,23,23.377483,2018-04-21,28
59.486668,23,23.377584,2018-07-02,31
60.606674,25,24.510966,2017-07-05,21
121.016655,27,25.859733,2018-07-22,7
-1.7100006,27,25.859804,2018-08-26,13
65.01,28,26.839356,2018-04-10,25
74.0,29,27.58642,2017-07-18,9
9.966663,30,28.562142,2018-04-28,14
69.993324,31,29.462719,2018-08-24,3
56.66333,31,29.462814,2017-06-16,11
69.64333,32,30.486594,2018-04-11,1
75.63667,32,30.486669,2017-10-04,5
30.433336,32,30.486685,2018-08-28,15
107.10333,32,30.486696,2017-06-09,20
17.923332,32,30.486706,2018-03-20,23
3.7133327,34,31.804248,2018-02-22,2
72.89667,34,31.804338,2018-02-21,30
104.87001,35,32.712485,2018-04-06,26
-1.3800012,36,33.39643,2017-08-29,19
-2.9366682,36,33.396532,2017-06-11,24
-15.526666,37,34.239457,2017-11-27,4
-20.963333,37,34.239531,2017-11-14,8
81.71333,38,34.850533,2017-12-13,18
84.33334,39,35.715153,2018-03-09,16
50.303337,39,35.715792,2017-11-15,17
74.13333,39,35.715822,2017-07-15,27
25.33666,40,36.36362,2017-10-25,10
-53.40333,44,38.914624,2017-09-01,0
-125.73998,48,41.387693,2017-09-10,12
19.956656,49,42.184287,2018-08-17,22
109.14333,24,44.121271,2018-03-27,25
128.61998,29,44.121376,2017-10-15,31
-211.18333,53,44.908536,2017-09-06,29
50.729996,24,45.646785,2018-06-25,14
71.28333,29,47.086509,2017-11-11,7
175.54001,24,47.086583,2017-06-15,20
54.153328,22,48.052566,2018-07-19,26
180.24666,27,49.525913,2018-06-16,5
135.79335,28,49.525985,2018-03-03,11
86.093346,39,50.370669,2017-07-12,6
133.23334,28,50.37074,2017-12-22,15
99.82666,29,51.166968,2018-04-07,1
48.579998,36,51.167062,2017-09-15,21
138.66,29,51.16708,2017-09-16,23
6.4366674,25,51.167092,2018-04-03,24
141.03665,31,51.996302,2018-07-10,3
109.80667,35,51.996383,2017-10-23,13
78.13333,25,52.572212,2017-07-26,18
26.80667,42,53.823729,2017-12-22,28
152.12666,30,55.372607,2018-06-21,8
80.07,28,55.372685,2018-07-24,17
70.37666,33,55.372701,2017-07-07,30
104.30669,32,56.292436,2017-06-09,19
81.84334,29,56.292525,2017-12-11,27
48.749992,35,57.182016,2018-07-15,2
93.83,40,57.182089,2018-01-01,9
157.60669,32,58.544277,2017-06-23,16
62.986675,29,60.057494,2018-07-31,0
148.44333,33,60.057568,2018-02-13,10
45.596664,39,61.889286,2018-04-12,4
29.75333,25,63.254149,2018-07-25,29
207.39,31,64.18633,2018-04-12,12
146.39,18,64.186405,2017-07-24,23
206.47,29,65.795748,2017-12-10,25
94.78002,29,65.795868,2018-07-26,31
97.36999,26,66.650075,2018-07-20,7
140.96333,29,67.539057,2017-11-30,14
127.41002,26,69.281731,2018-05-30,11
105.57668,29,69.281807,2017-08-11,20
114.27333,24,70.219209,2018-03-13,13
68.323326,25,70.219289,2017-10-08,21
34.72333,37,70.219306,2017-09-18,22
180.72331,29,71.763242,2018-04-14,5
78.10666,28,71.763332,2018-04-24,6
166.43333,27,72.564792,2017-09-30,3
99.32004,33,73.474764,2018-07-16,26
185.4633,31,76.395459,2017-07-31,18
77.689995,27,76.395701,2017-08-04,30
73.72,23,77.83759,2018-05-05,0
88.78333,28,77.837674,2018-07-14,19
145.01666,37,78.794085,2017-05-27,15
57.043335,30,78.794159,2017-12-13,17
23.756668,29,78.794174,2018-08-22,27
64.01668,37,79.521838,2018-02-01,1
46.37999,31,80.91318,2018-01-18,2
30.293324,28,81.600241,2017-06-04,10
52.096664,41,82.359218,2017-09-18,24
135.01,21,83.11226,2017-11-20,7
26.696669,38,83.112334,2017-09-13,28
91.44333,35,84.032126,2018-08-22,9
172.5533,25,84.032199,2018-03-14,23
149.40001,27,85.424966,2018-06-12,12
104.20334,35,85.42504,2018-02-25,16
