#{"t_start": 1682401244.4086945, "env_id": null}
r,l,t,current_date,agent_id
-17.920002,19,19.29831,2017-05-22,6
152.23334,23,21.36952,2017-05-30,58
27.960001,24,22.134218,2018-04-30,37
2.350002,24,22.13431,2017-07-03,56
83.72001,25,23.066952,2018-07-22,7
67.376656,25,23.068495,2018-07-10,32
52.563324,25,23.068526,2017-09-30,40
36.436665,25,23.068541,2018-07-02,53
117.12999,26,23.665785,2017-12-23,35
37.446667,27,24.218208,2017-07-18,9
6.5100026,27,24.218327,2017-07-05,21
-39.333324,27,24.21835,2017-09-28,57
27.5,29,25.458926,2018-03-09,16
110.12666,29,25.459021,2017-12-05,36
96.09334,30,26.429997,2018-08-24,3
93.77335,30,26.430091,2017-06-16,11
-8.1466675,30,26.430106,2018-08-28,15
-9.58333,30,26.430117,2018-03-20,23
52.789993,30,26.430126,2018-04-10,25
90.42,30,26.430136,2018-04-10,39
4.0066667,30,26.430145,2018-07-22,42
68.13333,30,26.430154,2017-10-17,44
22.293333,30,26.430163,2018-02-02,60
12.030006,31,27.244524,2017-10-25,10
107.28999,31,27.244618,2018-04-06,26
-1.3600004,31,27.244635,2018-05-04,48
-23.303343,32,28.003822,2017-11-27,4
-21.819998,32,28.003916,2017-10-30,34
37.420006,34,29.335205,2018-04-11,1
-66.083336,34,29.33587,2018-02-22,2
60.33,34,29.335902,2017-06-09,20
-54.846664,34,29.335917,2018-02-21,30
5.006672,34,29.335928,2018-07-02,31
1.0666701,34,29.335937,2018-01-25,33
-11.853333,34,29.335946,2018-03-06,46
12.880001,34,29.335955,2018-07-17,51
52.470016,34,29.335963,2017-08-20,55
-15.080002,35,30.145232,2017-10-04,5
-4.5366726,35,30.145324,2017-11-14,8
27.116669,35,30.145339,2018-04-28,14
16.880005,35,30.14535,2017-12-13,18
115.56002,35,30.145362,2017-07-30,62
-67.13333,36,30.919682,2017-11-15,17
-63.116665,36,30.919775,2018-04-21,28
15.276661,36,30.919792,2017-08-12,41
88.026665,36,30.919803,2017-11-16,49
43.22666,36,30.919813,2017-11-25,52
14.683316,36,30.919823,2017-11-30,63
18.40333,37,31.64462,2017-06-11,24
22.476667,37,31.644712,2017-07-15,27
-6.54667,37,31.644741,2018-05-19,43
64.183334,37,31.644752,2018-04-20,45
-25.660004,37,31.644762,2017-09-21,50
-87.88999,37,31.644771,2017-08-14,54
-49.353333,38,32.223134,2018-02-09,61
27.229996,39,33.021446,2017-11-13,38
68.680016,39,33.021537,2018-06-29,47
-75.45667,41,34.262875,2018-08-26,13
-134.58003,42,34.963311,2017-09-01,0
-32.296688,42,34.9634,2018-05-08,59
-22.556648,43,35.675405,2017-08-29,19
-51.203335,43,35.675503,2018-08-17,22
-72.59667,44,36.377217,2017-09-10,12
10.486669,23,38.637595,2018-05-04,32
84.90333,20,39.836664,2018-03-27,25
-118.09998,52,41.097094,2017-09-06,29
23.32666,27,41.097187,2018-03-15,53
-30.553335,30,41.841089,2018-02-26,58
9.973328,30,43.315301,2017-08-25,35
19.783335,27,43.942135,2018-01-20,60
51.403336,33,44.691372,2017-11-11,7
40.996662,29,45.257546,2017-12-22,15
-30.956665,35,45.257646,2017-11-27,37
2.9933312,28,45.257665,2017-10-26,48
47.143333,41,45.981323,2017-07-12,6
52.873337,30,45.981421,2017-09-16,23
75.00668,31,45.981437,2018-07-03,36
84.81334,35,45.981448,2018-08-15,40
62.583324,32,46.554113,2017-06-23,16
20.646667,27,46.554214,2017-06-15,20
59.28666,31,47.405172,2018-02-13,10
75.62667,26,47.405269,2017-06-14,41
54.63,25,47.405285,2018-07-18,54
0.17666575,38,47.405295,2017-11-18,56
12.28667,35,47.405319,2017-06-26,57
-46.28665,33,48.173064,2018-01-18,42
114.08333,26,48.173158,2017-10-29,43
67.55,34,49.029398,2018-07-10,3
41.693333,34,49.029521,2018-03-03,11
62.519993,28,49.029539,2018-07-24,17
2.5866673,37,49.02955,2017-09-15,21
24.356663,34,49.029561,2018-05-09,44
16.633335,31,49.685011,2018-05-25,33
46.509995,28,49.685107,2017-07-03,50
47.69334,32,50.514722,2018-04-07,1
101.04667,29,50.514817,2017-12-11,27
145.44333,32,50.514845,2017-10-15,31
34.059998,31,50.514858,2017-12-01,62
-44.676666,35,51.250618,2018-04-12,4
8.346669,31,51.250715,2017-11-12,49
42.193333,33,51.250731,2018-07-15,55
55.676662,29,51.250742,2017-08-03,61
-7.9800043,34,52.214475,2018-07-15,2
51.743332,33,52.21457,2018-06-16,5
73.78669,33,52.215317,2017-07-26,18
39.95,37,52.215346,2018-07-19,26
17.859999,32,52.21536,2017-12-22,28
11.563329,34,52.215371,2018-08-28,46
15.999997,27,53.053391,2018-07-31,0
-14.919993,42,53.053494,2018-01-01,9
78.03334,35,53.053511,2017-07-07,30
10.88667,30,53.053523,2017-11-26,38
102.38667,32,53.053534,2017-11-25,45
-5.3100004,33,53.053544,2018-04-25,52
-3.7599957,37,54.349038,2018-05-04,51
-20.123337,40,55.228636,2018-06-17,34
48.71333,33,55.228724,2018-03-04,47
95.82666,36,55.22874,2017-09-16,63
31.380001,38,55.976146,2018-06-21,8
49.176666,38,55.976229,2018-06-25,14
-51.516666,36,55.976245,2018-04-03,24
47.153324,25,55.976256,2017-10-06,32
41.48666,33,58.331732,2018-04-12,12
-120.21001,37,59.053957,2017-10-23,13
-86.206665,48,59.054065,2017-12-01,39
-35.463337,37,60.290914,2017-09-18,22
117.37666,30,60.291007,2017-12-10,25
86.83335,38,60.291024,2017-06-02,59
44.12,39,61.478491,2017-06-09,19
14.500003,23,62.997841,2017-06-04,10
87.91002,34,63.818586,2018-07-25,29
7.4733324,30,63.818693,2017-08-14,35
28.183334,26,63.81871,2017-09-30,40
-16.093336,34,63.818722,2017-06-10,53
2.9666684,33,63.818732,2018-04-10,58
137.45667,26,64.530132,2017-08-11,20
3.109999,25,64.530226,2017-11-23,57
8.073332,24,65.133856,2017-10-08,21
88.80334,26,66.499302,2017-09-30,3
26.986656,30,66.499393,2018-04-24,6
-2.3533335,32,66.499413,2018-07-20,7
38.819996,30,67.284517,2018-02-25,16
-13.19,31,67.28461,2017-07-24,23
-21.443333,28,67.284627,2018-06-23,43
-8.503335,28,68.176113,2018-05-30,11
89.88667,29,69.027149,2018-07-24,44
86.229996,25,69.798429,2018-07-18,38
-130.32666,35,69.798525,2017-09-13,48
110.44333,32,69.798541,2018-05-21,54
81.69667,28,70.485456,2017-07-01,4
-19.0,36,70.485551,2017-05-27,15
115.38667,35,70.485568,2017-07-01,36
119.820015,38,70.485581,2017-08-08,60
115.43666,37,71.263102,2017-08-04,37
-28.179998,24,71.263207,2017-10-01,47
27.483334,33,72.022499,2017-12-13,17
111.229996,29,72.022588,2017-07-31,18
-55.573345,28,72.022605,2017-11-30,52
93.15667,31,72.022616,2017-12-25,62
69.51001,31,72.789463,2018-02-21,61
27.100004,30,73.580324,2018-08-22,9
13.610001,37,73.580423,2018-03-13,41
32.51334,37,73.58044,2018-08-12,56
62.54333,32,74.744547,2017-10-12,45
