#{"t_start": 1682356442.605035, "env_id": null}
r,l,t,current_date
87.52334,24,51.411996,2018-07-11
117.40666,24,51.41333,2018-07-11
41.749992,25,53.758899,2018-07-11
49.02333,25,53.75898,2018-07-11
91.24667,26,55.51791,2018-07-11
83.33668,27,57.292353,2018-07-11
79.326675,28,59.095034,2018-07-11
63.279995,28,59.095234,2018-07-11
141.67336,28,59.095261,2018-07-11
89.48999,29,61.274978,2018-07-11
101.63,29,61.275084,2018-07-11
67.84999,29,61.275122,2018-07-11
74.38332,29,61.275141,2018-07-11
41.653336,29,61.275158,2018-07-11
91.47999,29,61.275174,2018-07-11
75.62,29,61.275192,2018-07-11
134.64,30,63.414413,2018-07-11
59.82334,30,63.414512,2018-07-11
133.49333,30,63.414538,2018-07-11
83.81667,31,65.626054,2018-07-11
145.91002,31,65.626146,2018-07-11
106.789986,31,65.626171,2018-07-11
96.20667,31,65.62619,2018-07-11
115.07335,31,65.626208,2018-07-11
115.663345,31,65.626225,2018-07-11
133.06667,31,65.626261,2018-07-11
70.973335,32,67.770863,2018-07-11
65.79667,32,67.770959,2018-07-11
131.12999,33,69.527189,2018-07-11
169.82668,35,72.989587,2018-07-11
54.876663,35,72.989687,2018-07-11
152.90001,36,75.084354,2018-07-11
63.93,23,97.416111,2018-04-29
112.386665,29,97.41623,2018-04-29
96.86333,30,98.672555,2018-04-29
84.573326,27,100.245249,2018-04-29
95.45334,26,100.247511,2018-04-29
68.59666,32,100.247559,2018-04-29
69.12666,29,101.825439,2018-04-29
115.3,31,101.825538,2018-04-29
54.103336,28,101.825564,2018-04-29
54.95666,31,103.24765,2018-04-29
84.78667,29,103.247735,2018-04-29
159.26003,27,103.247761,2018-04-29
46.356663,28,104.474888,2018-04-29
146.18332,35,104.474985,2018-04-29
116.11666,25,105.699601,2018-04-29
141.5167,29,107.084151,2018-04-29
15.696671,32,107.084233,2018-04-29
3.6666658,30,107.084257,2018-04-29
69.92002,33,107.084275,2018-04-29
76.89333,33,107.084294,2018-04-29
71.63,33,108.429049,2018-04-29
104.46667,34,109.847547,2018-04-29
92.253334,34,109.847625,2018-04-29
134.44998,30,109.847649,2018-04-29
113.67999,27,109.847668,2018-04-29
102.35334,32,109.847686,2018-04-29
39.86,34,111.099566,2018-04-29
42.193333,34,112.362647,2018-04-29
