#{"t_start": 1682366685.5042574, "env_id": null}
r,l,t,current_date,agent_id
89.49001,26,25.531971,2017-06-11,24
150.94333,27,26.441607,2018-07-22,7
139.92,27,26.441698,2018-04-06,26
79.526665,27,26.441714,2018-02-21,30
100.793335,28,27.230679,2017-10-25,10
99.233345,29,28.182755,2018-04-28,14
128.44333,29,28.182842,2017-12-13,18
167.61002,29,28.182865,2017-06-09,20
115.97001,29,28.182876,2018-04-10,25
69.53999,30,29.030249,2018-08-17,22
125.29666,30,29.030348,2017-07-15,27
105.1,30,29.030364,2018-07-02,31
122.17001,31,30.016822,2018-08-24,3
105.71667,31,30.016918,2017-11-27,4
141.18333,31,30.016934,2017-07-18,9
60.91,31,30.017013,2017-06-16,11
185.38,33,31.495326,2018-02-22,2
91.33999,33,31.495417,2018-08-26,13
120.953316,33,31.495434,2018-04-21,28
41.01333,35,32.951688,2017-05-22,6
49.120003,35,32.951801,2018-08-28,15
77.72334,35,32.951819,2018-03-20,23
130.26,36,33.739155,2018-03-09,16
160.75002,36,33.739252,2017-11-15,17
113.65667,36,33.739267,2017-07-05,21
68.10999,37,34.561173,2018-04-11,1
120.729996,37,34.561283,2017-11-14,8
147.66336,44,38.759947,2017-10-04,5
59.026657,45,39.417049,2017-09-10,12
57.003334,49,42.119736,2017-09-01,0
114.05332,22,42.119951,2018-07-19,26
109.45667,24,42.867266,2018-04-03,24
107.63334,24,43.76719,2017-11-11,7
12.55333,52,44.576542,2017-09-06,29
123.90001,24,45.351629,2018-03-27,25
162.14001,25,45.933276,2017-07-26,18
179.90665,24,46.857614,2018-03-03,11
111.013336,27,48.375981,2017-12-11,27
88.78,30,49.957908,2018-06-25,14
47.36667,23,49.958029,2017-09-15,21
145.36334,29,49.958059,2017-10-15,31
185.37665,29,50.660316,2018-07-10,3
151.04004,60,50.660408,2017-08-29,19
116.73999,33,51.557381,2018-02-13,10
179.29002,25,51.557496,2018-07-24,17
163.40337,27,52.145158,2017-09-16,23
208.49666,35,52.14526,2017-07-07,30
111.47667,31,53.557586,2018-07-15,2
118.44999,33,53.557683,2018-04-12,4
155.11665,30,54.297812,2017-07-12,6
144.92334,35,55.188576,2018-01-01,9
232.72002,31,55.188668,2017-12-22,15
143.2,38,55.704883,2017-06-15,20
143.52333,31,56.471424,2018-06-21,8
130.95998,35,56.471537,2017-10-23,13
186.09334,32,56.471555,2017-06-23,16
226.08665,35,56.471566,2017-12-22,28
186.50333,34,58.332488,2018-04-07,1
137.09666,27,59.274051,2018-04-12,12
182.86,29,60.078577,2018-06-16,5
122.98,44,60.788357,2017-09-18,22
166.95665,27,62.207794,2018-07-31,0
149.25334,28,63.061226,2018-07-16,26
186.16335,28,64.564988,2018-07-20,7
99.78333,29,64.565078,2017-09-18,24
77.53333,26,64.565093,2017-12-10,25
144.99663,26,65.394537,2017-07-31,18
148.96333,28,65.394655,2018-07-25,29
216.60664,28,67.406234,2018-05-30,11
86.17,22,67.408022,2017-12-13,17
112.27333,25,68.080216,2017-10-08,21
148.59666,25,69.243693,2017-06-04,10
104.83667,30,71.997631,2017-09-30,3
128.5,25,71.997783,2018-04-24,6
164.46666,28,71.997818,2017-08-04,30
141.21333,31,71.997839,2018-07-26,31
107.07998,26,73.867898,2017-08-11,20
98.07334,31,73.867988,2017-07-24,23
